ID,Title,Language,Release Date,Subjects,Categories,Reading Ease
1,The Declaration of Independence of the United States of America,English,"Dec 1, 1971","['United States -- History -- Revolution, 1775-1783 -- Sources', 'United States. Declaration of Independence']","['E201: History: America: Revolution (1775-1783)', 'JK: Political science: Political inst. and pub. Admin.: United States']",45.37161127643975
2,The United States Bill of Rights The Ten Original Amendments to the Constitution of the United States,English,"Dec 1, 1972","['Civil rights -- United States -- Sources', 'United States. Constitution. 1st-10th Amendments']","['JK: Political science: Political inst. and pub. Admin.: United States', 'KF: Law in general, Comparative and uniform law, Jurisprudence: United States']",39.557100415978766
3,John F. Kennedy's Inaugural Address,English,"Nov 1, 1973","['United States -- Foreign relations -- 1961-1963', 'Presidents -- United States -- Inaugural addresses']",['E838: History: America: Later twentieth century (1961-)'],42.796917047938734
4,"Lincoln's Gettysburg Address Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA",English,"Nov 1, 1973","['Consecration of cemeteries -- Pennsylvania -- Gettysburg', ""Soldiers' National Cemetery (Gettysburg, Pa.)"", 'Lincoln, Abraham, 1809-1865. Gettysburg address']",['E456: History: America: Civil War period (1861-1865)'],41.84860537932451
5,The United States Constitution,English,"Dec 1, 1975","['United States -- Politics and government -- 1783-1789 -- Sources', 'United States. Constitution']","['JK: Political science: Political inst. and pub. Admin.: United States', 'KF: Law in general, Comparative and uniform law, Jurisprudence: United States']",34.17961280418075
6,Give Me Liberty or Give Me Death,English,"Dec 1, 1976","['Speeches, addresses, etc., American', 'United States -- Politics and government -- 1775-1783 -- Sources', 'Virginia -- Politics and government -- 1775-1783 -- Sources']",['E201: History: America: Revolution (1775-1783)'],47.52284928340271
7,The Mayflower Compact,English,"Dec 1, 1977","['Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources', 'Pilgrims (New Plymouth Colony)', 'Mayflower Compact (1620)']",['F001: United States local history: New England'],37.29663314605966
8,Abraham Lincoln's Second Inaugural Address,English,"Dec 1, 1978","['United States -- Politics and government -- 1861-1865', 'Presidents -- United States -- Inaugural addresses']",['E456: History: America: Civil War period (1861-1865)'],40.1917889862076
9,Abraham Lincoln's First Inaugural Address,English,"Dec 1, 1979","['United States -- Politics and government -- 1861-1865', 'Presidents -- United States -- Inaugural addresses']",['E456: History: America: Civil War period (1861-1865)'],40.72514178572004
10,The King James Version of the Bible,English,"Aug 1, 1989",['Bible'],"['BS: Philosophy, Psychology, Religion: Christianity: The Bible, Old and New Testament']",70.84281087708827
11,Alice's Adventures in Wonderland,English,"Jun 27, 2008","['Fantasy fiction', ""Children's stories"", 'Imaginary places -- Juvenile fiction', 'Alice (Fictitious character from Carroll) -- Juvenile fiction']","['PR: Language and Literatures: English literature', 'PZ: Language and Literatures: Juvenile belles lettres']",75.41463247108173
12,Through the Looking-Glass,English,"Jun 25, 2008","['Fantasy fiction', ""Children's stories"", 'Imaginary places -- Juvenile fiction', 'Alice (Fictitious character from Carroll) -- Juvenile fiction']","['PR: Language and Literatures: English literature', 'PZ: Language and Literatures: Juvenile belles lettres']",78.52098488489338
13,The Hunting of the Snark: An Agony in Eight Fits,English,"Jun 25, 2008","['Nonsense verses, English']",['PR: Language and Literatures: English literature'],59.730031309315876
14,The 1990 CIA World Factbook,English,"Apr 1, 1991","['World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'Political statistics -- Handbooks, manuals, etc.']","['G: Geography, Anthropology, Recreation']",14.68870041004564
15,"Moby-Dick; or, The Whale",English,"May 1, 1991","['Whaling -- Fiction', 'Sea stories', 'Psychological fiction', 'Ship captains -- Fiction', 'Adventure stories', 'Mentally ill -- Fiction', 'Ahab, Captain (Fictitious character) -- Fiction', 'Whales -- Fiction', 'Whaling ships -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],63.892813101366826
16,Peter Pan,English,"Jun 25, 2008","['Fantasy literature', 'Peter Pan (Fictitious character) -- Fiction', 'Never-Never Land (Imaginary place) -- Fiction', 'Pirates -- Fiction', 'Fairies -- Fiction']","['PR: Language and Literatures: English literature', 'PZ: Language and Literatures: Juvenile belles lettres']",78.85419359502443
17,"The Book of Mormon :  an account written by the hand of Mormon, upon plates taken from the plates of Nephi",English,"Jun 25, 2008","['Church of Jesus Christ of Latter-day Saints -- Sacred books', 'Latter Day Saint churches -- Sacred books']","['BX: Philosophy, Psychology, Religion: Christianity: Churches, Church movements']",60.02591006168116
18,The Federalist Papers,English,"Aug 1, 1991","['Constitutional history -- United States -- Sources', 'Constitutional law -- United States']","['JK: Political science: Political inst. and pub. Admin.: United States', 'KF: Law in general, Comparative and uniform law, Jurisprudence: United States']",34.921556706896695
19,The Song of Hiawatha,English,"Jun 1, 2004","['Indians of North America -- Poetry', 'Hiawatha, active 15th century -- Poetry', 'Iroquois Indians -- Kings and rulers -- Poetry']",['PS: Language and Literatures: American and Canadian literature'],57.83975820957478
20,Paradise Lost,English,"Oct 1, 1991","['Fall of man -- Poetry', 'Adam (Biblical figure) -- Poetry', 'Eve (Biblical figure) -- Poetry', 'Bible. Genesis -- History of Biblical events -- Poetry']",['PR: Language and Literatures: English literature'],43.387731771157746
21,Three hundred Aesop’s fables Translated by George Fyler Townsend,English,"Jun 25, 2008","['Fables, Greek -- Translations into English', ""Aesop's fables -- Translations into English""]","['PA: Language and Literatures: Classical Languages and Literature', 'PZ: Language and Literatures: Juvenile belles lettres']",66.72660380140331
22,Roget's Thesaurus,English,"Dec 1, 1991",['English language -- Synonyms and antonyms'],['PE: Language and Literatures: English'],39.40436173171247
23,"Narrative of the Life of Frederick Douglass, an American Slave",English,"Jan 12, 2006","['Douglass, Frederick, 1818-1895', 'African American abolitionists -- Biography', 'Abolitionists -- United States -- Biography', 'Enslaved persons -- United States -- Biography']",['E300: History: America: Revolution to the Civil War (1783-1861)'],65.81048075603397
24,O Pioneers!,English,"Jun 27, 2008","['Nebraska -- Fiction', 'Historical fiction', 'Frontier and pioneer life -- Nebraska -- Fiction', 'Domestic fiction', 'Siblings -- Fiction', 'Farm life -- Fiction', 'Women pioneers -- Fiction', 'Women farmers -- Fiction', 'Women immigrants -- Fiction', 'Swedish Americans -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],78.89026746186785
25,The 1991 CIA World Factbook,English,"Feb 1, 1992","['World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'Political statistics -- Handbooks, manuals, etc.']","['G: Geography, Anthropology, Recreation']",11.746890886401786
26,Paradise Lost,English,"Feb 1, 1992","['Fall of man -- Poetry', 'Adam (Biblical figure) -- Poetry', 'Eve (Biblical figure) -- Poetry', 'Bible. Genesis -- History of Biblical events -- Poetry']",['PR: Language and Literatures: English literature'],48.11976101074585
27,Far from the Madding Crowd,English,"Mar 1, 1992","['Didactic fiction', 'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Pastoral fiction', 'Farm life -- Fiction', 'Women farmers -- Fiction', 'Wessex (England) -- Fiction']",['PR: Language and Literatures: English literature'],70.83171884553586
28,"The Fables of Aesop Selected, Told Anew, and Their History Traced",English,"Mar 1, 1992","[""Aesop's fables -- Adaptations"", 'Fables, Greek -- Adaptations']","['PA: Language and Literatures: Classical Languages and Literature', 'PZ: Language and Literatures: Juvenile belles lettres']",70.31043646201397
29,The 1990 United States Census,English,"Apr 1, 1992","['United States -- Population -- Statistics', 'United States -- Census', 'Housing -- United States -- Statistics']",['HA: Social sciences: Statistics'],62.88100345943366
30,"The Bible, King James Version, Complete",English,"Apr 1, 1992",['Bible'],"['BS: Philosophy, Psychology, Religion: Christianity: The Bible, Old and New Testament']",70.86176381071331
31,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,English,"Mar 8, 2006","['Tragedies (Drama)', 'Antigone (Mythological character) -- Drama', 'Oedipus (Greek mythological figure) -- Drama', 'Greek drama (Tragedy) -- Translations into English']",['PA: Language and Literatures: Classical Languages and Literature'],77.35284891110813
32,Herland,English,"Jun 27, 2008","['Utopias -- Fiction', 'Women -- Fiction', 'Utopian fiction', 'Black humor']",['PS: Language and Literatures: American and Canadian literature'],68.69200686435344
33,The Scarlet Letter,English,"Jun 1, 1992","['Adultery -- Fiction', 'Historical fiction', 'Revenge -- Fiction', 'Psychological fiction', 'Married women -- Fiction', 'Clergy -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Illegitimate children -- Fiction', 'Women immigrants -- Fiction', 'Puritans -- Fiction', 'Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],58.21447715690098
34,Zen and the Art of the Internet,English,"Jun 1, 1992","['Internet', 'Computer networks', 'Information networks', 'Information retrieval']","['TK: Technology: Electrical, Electronics and Nuclear engineering']",48.433638996683584
35,The Time Machine,English,"Oct 2, 2004","['Science fiction', 'Time travel -- Fiction', 'Dystopias -- Fiction']",['PR: Language and Literatures: English literature'],67.95568119836514
